date,stage,action,lead_time_min,success,change_failure_detected,time_to_restore_min,candidate_count,notes
2025-10-08,lidar,test_run,720,true,false,0,879,"Initial golden AOI test on cloud3.las - baseline established"
2025-12-17,lidar,baseline_rebase,30,true,true,0,802,"Rebased golden AOI baseline after fixing order-dependent quantile updates (duplicate cell indices) in scripts/run_lidar_hag.py"
